EVENT,BOUT,FIGHTER,KD,SIG.STR.,SIG.STR. %,TOTAL STR.,TD,TD %,SUB.ATT,REV.,CTRL,HEAD,BODY,LEG,DISTANCE,CLINCH,GROUND,Win,win_loss_ratio
Ortiz vs Shamrock 3: The Final Chapter,Jason MacDonald vs. Ed Herman,Ed Herman,0.0,2.0,1.0,5.0,1.0,0.5,0.0,1.0,0,0.0,0.0,2.0,2.0,0.0,0.0,0,0.627906976744186
Ortiz vs Shamrock 3: The Final Chapter,Jason MacDonald vs. Ed Herman,Jason MacDonald,0.0,5.0,0.71,14.0,0.0,0.0,2.0,1.0,0,4.0,0.0,1.0,2.0,0.0,3.0,1,0.6097560975609756
Ortiz vs Shamrock 3: The Final Chapter,Kendall Grove vs. Chris Price,Chris Price,0.0,5.0,0.5,7.0,0.0,0.0,0.0,1.0,0,2.0,3.0,0.0,2.0,3.0,0.0,0,0.8260869565217391
Ortiz vs Shamrock 3: The Final Chapter,Kendall Grove vs. Chris Price,Kendall Grove,0.0,13.0,0.5,22.0,1.0,1.0,1.0,1.0,0,12.0,1.0,0.0,1.0,1.0,11.0,1,0.575
Ortiz vs Shamrock 3: The Final Chapter,Marcus Davis vs. Forrest Petz,Forrest Petz,0.0,5.0,0.27,19.0,0.0,0.0,0.0,0.0,0,2.0,2.0,1.0,1.0,4.0,0.0,0,0.7222222222222222
Ortiz vs Shamrock 3: The Final Chapter,Marcus Davis vs. Forrest Petz,Marcus Davis,0.0,33.0,0.66,66.0,0.0,0.0,1.0,0.0,0,17.0,8.0,8.0,5.0,20.0,8.0,1,0.6666666666666666
Ortiz vs Shamrock 3: The Final Chapter,Matt Hamill vs. Seth Petruzelli,Matt Hamill,0.0,14.0,0.96,105.0,7.0,2.1,0.0,0.0,0,11.0,0.0,3.0,8.0,3.0,3.0,3,0.6
Ortiz vs Shamrock 3: The Final Chapter,Matt Hamill vs. Seth Petruzelli,Seth Petruzelli,1.0,25.0,1.3,54.0,0.0,0.0,1.0,0.0,0,11.0,8.0,6.0,21.0,3.0,1.0,0,0.6363636363636364
Ortiz vs Shamrock 3: The Final Chapter,Nate Marquardt vs. Crafton Wallace,Crafton Wallace,0.0,4.0,0.26,27.0,0.0,0.0,0.0,0.0,0,3.0,0.0,1.0,4.0,0.0,0.0,0,0.75
Ortiz vs Shamrock 3: The Final Chapter,Nate Marquardt vs. Crafton Wallace,Nate Marquardt,0.0,13.0,1.08,31.0,2.0,1.5,2.0,1.0,0,7.0,2.0,4.0,7.0,0.0,6.0,2,0.6481481481481481
Ortiz vs Shamrock 3: The Final Chapter,Rory Singer vs. Josh Haynes,Josh Haynes,1.0,23.0,0.61,32.0,1.0,0.5,0.0,0.0,0,15.0,4.0,4.0,12.0,2.0,9.0,0,0.56
Ortiz vs Shamrock 3: The Final Chapter,Rory Singer vs. Josh Haynes,Rory Singer,0.0,50.0,1.15,57.0,0.0,0.0,0.0,0.0,0,44.0,5.0,1.0,38.0,12.0,0.0,3,0.55
Ortiz vs Shamrock 3: The Final Chapter,Thiago Alves vs. John Alessio,John Alessio,0.0,13.0,0.45000000000000007,18.0,2.0,0.75,0.0,0.0,0,12.0,0.0,1.0,10.0,2.0,1.0,0,0.6730769230769231
Ortiz vs Shamrock 3: The Final Chapter,Thiago Alves vs. John Alessio,Thiago Alves,0.0,63.0,1.32,84.0,0.0,0.0,0.0,0.0,0,27.0,11.0,25.0,41.0,15.0,7.0,3,0.6052631578947368
Ortiz vs Shamrock 3: The Final Chapter,Tito Ortiz vs. Ken Shamrock,Ken Shamrock,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6222222222222222
Ortiz vs Shamrock 3: The Final Chapter,Tito Ortiz vs. Ken Shamrock,Tito Ortiz,0.0,18.0,0.62,38.0,1.0,1.0,0.0,0.0,0,15.0,1.0,2.0,0.0,3.0,15.0,1,0.6129032258064516
Ortiz vs Shamrock 3: The Final Chapter,Tony DeSouza vs. Dustin Hazelett,Dustin Hazelett,0.0,1.0,0.25,1.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.631578947368421
Ortiz vs Shamrock 3: The Final Chapter,Tony DeSouza vs. Dustin Hazelett,Tony DeSouza,0.0,5.0,1.0,12.0,1.0,1.0,1.0,0.0,0,5.0,0.0,0.0,0.0,0.0,5.0,1,0.7333333333333333
The Ultimate Fighter: A Champion Will Be Crowned Finale,Aisling Daly vs. Alex Chambers,Aisling Daly,0.0,16.0,0.61,52.0,1.0,0.5,1.0,0.0,0,13.0,3.0,0.0,5.0,2.0,9.0,1,0.7272727272727273
The Ultimate Fighter: A Champion Will Be Crowned Finale,Aisling Daly vs. Alex Chambers,Alex Chambers,0.0,12.0,0.8,12.0,1.0,1.0,0.0,0.0,0,5.0,2.0,5.0,6.0,5.0,1.0,0,0.5
The Ultimate Fighter: A Champion Will Be Crowned Finale,Bec Rawlings vs. Heather Clark,Bec Rawlings,0.0,69.0,1.75,90.0,0.0,0.0,0.0,0.0,0,45.0,6.0,18.0,43.0,25.0,1.0,3,0.4666666666666667
The Ultimate Fighter: A Champion Will Be Crowned Finale,Bec Rawlings vs. Heather Clark,Heather Clark,0.0,56.0,1.77,85.0,1.0,0.33,1.0,0.0,0,33.0,15.0,8.0,29.0,21.0,6.0,0,0.5384615384615384
The Ultimate Fighter: A Champion Will Be Crowned Finale,Carla Esparza vs. Rose Namajunas,Carla Esparza,0.0,42.0,1.76,107.0,5.0,2.25,1.0,0.0,0,36.0,6.0,0.0,11.0,11.0,20.0,3,0.7407407407407407
The Ultimate Fighter: A Champion Will Be Crowned Finale,Carla Esparza vs. Rose Namajunas,Rose Namajunas,0.0,28.0,1.27,29.0,1.0,0.5,0.0,0.0,0,16.0,8.0,4.0,22.0,4.0,2.0,0,0.6666666666666666
The Ultimate Fighter: A Champion Will Be Crowned Finale,Emily Kagan vs. Angela Hill,Angela Hill,1.0,107.0,2.04,140.0,0.0,0.0,0.0,1.0,0,68.0,31.0,8.0,32.0,68.0,7.0,3,0.5517241379310345
The Ultimate Fighter: A Champion Will Be Crowned Finale,Emily Kagan vs. Angela Hill,Emily Kagan,0.0,41.0,1.37,60.0,2.0,0.33,0.0,0.0,0,15.0,11.0,15.0,26.0,15.0,0.0,0,0.5
The Ultimate Fighter: A Champion Will Be Crowned Finale,Felice Herrig vs. Lisa Ellis,Felice Herrig,0.0,8.0,1.14,48.0,1.0,1.0,3.0,2.0,0,8.0,0.0,0.0,1.0,0.0,7.0,2,0.5833333333333334
The Ultimate Fighter: A Champion Will Be Crowned Finale,Felice Herrig vs. Lisa Ellis,Lisa Ellis,0.0,4.0,1.75,7.0,2.0,1.5,1.0,1.0,0,3.0,1.0,0.0,1.0,1.0,2.0,0,0.5769230769230769
The Ultimate Fighter: A Champion Will Be Crowned Finale,Jeremy Stephens vs. Charles Oliveira,Charles Oliveira,0.0,43.0,1.96,74.0,2.0,1.2,3.0,0.0,0,25.0,12.0,6.0,20.0,15.0,8.0,3,0.7906976744186046
The Ultimate Fighter: A Champion Will Be Crowned Finale,Jeremy Stephens vs. Charles Oliveira,Jeremy Stephens,0.0,48.0,1.81,55.0,0.0,0.0,0.0,0.0,0,34.0,8.0,6.0,25.0,6.0,17.0,0,0.5957446808510638
The Ultimate Fighter: A Champion Will Be Crowned Finale,Jessica Penne vs. Randa Markos,Jessica Penne,0.0,39.0,1.33,94.0,4.0,1.25,0.0,1.0,0,24.0,8.0,7.0,19.0,6.0,14.0,0,0.6363636363636364
The Ultimate Fighter: A Champion Will Be Crowned Finale,Jessica Penne vs. Randa Markos,Randa Markos,0.0,55.0,1.74,76.0,1.0,0.5,0.0,0.0,0,44.0,2.0,9.0,42.0,1.0,12.0,3,0.4782608695652174
The Ultimate Fighter: A Champion Will Be Crowned Finale,Joanne Wood vs. Seo Hee Ham,Joanne Wood,0.0,109.0,1.46,147.0,2.0,1.0,0.0,0.0,0,41.0,27.0,41.0,70.0,30.0,9.0,3,0.6666666666666666
The Ultimate Fighter: A Champion Will Be Crowned Finale,Joanne Wood vs. Seo Hee Ham,Seo Hee Ham,0.0,58.0,1.48,63.0,0.0,0.0,0.0,0.0,0,22.0,17.0,19.0,50.0,8.0,0.0,0,0.68
The Ultimate Fighter: A Champion Will Be Crowned Finale,Joe Proctor vs. Yancy Medeiros,Joe Proctor,0.0,15.0,0.32,15.0,0.0,0.0,0.0,0.0,0,2.0,4.0,9.0,15.0,0.0,0.0,0,0.6875
The Ultimate Fighter: A Champion Will Be Crowned Finale,Joe Proctor vs. Yancy Medeiros,Yancy Medeiros,1.0,25.0,0.37,25.0,0.0,0.0,1.0,0.0,0,8.0,9.0,8.0,21.0,1.0,3.0,1,0.6521739130434783
The Ultimate Fighter: A Champion Will Be Crowned Finale,KJ Noons vs. Daron Cruickshank,Daron Cruickshank,0.0,23.0,0.65,23.0,2.0,0.66,0.0,0.0,0,11.0,6.0,6.0,22.0,1.0,0.0,2,0.6428571428571429
The Ultimate Fighter: A Champion Will Be Crowned Finale,KJ Noons vs. Daron Cruickshank,KJ Noons,0.0,18.0,0.56,18.0,0.0,0.0,0.0,0.0,0,9.0,0.0,9.0,17.0,1.0,0.0,0,0.5909090909090909
The Ultimate Fighter: A Champion Will Be Crowned Finale,Tecia Torres vs. Angela Magana,Angela Magana,0.0,37.0,0.73,38.0,0.0,0.0,0.0,0.0,0,7.0,11.0,19.0,32.0,5.0,0.0,0,0.55
The Ultimate Fighter: A Champion Will Be Crowned Finale,Tecia Torres vs. Angela Magana,Tecia Torres,1.0,96.0,1.45,98.0,1.0,1.0,0.0,0.0,0,57.0,29.0,10.0,89.0,7.0,0.0,3,0.6842105263157895
The Ultimate Fighter: A New World Champion Finale,Andrew Sanchez vs. Ryan Janes,Andrew Sanchez,2.0,96.0,1.21,113.0,3.0,1.5,0.0,0.0,0,90.0,6.0,0.0,80.0,9.0,7.0,0,0.65
The Ultimate Fighter: A New World Champion Finale,Andrew Sanchez vs. Ryan Janes,Ryan Janes,0.0,159.0,1.75,200.0,0.0,0.0,0.0,0.0,0,121.0,32.0,6.0,131.0,28.0,0.0,3,0.7692307692307693
The Ultimate Fighter: A New World Champion Finale,Ariel Beck vs. Shana Dobson,Ariel Beck,0.0,35.0,0.64,35.0,0.0,0.0,0.0,0.0,0,8.0,16.0,11.0,34.0,1.0,0.0,2,0.4444444444444444
The Ultimate Fighter: A New World Champion Finale,Ariel Beck vs. Shana Dobson,Shana Dobson,1.0,34.0,0.72,36.0,0.0,0.0,0.0,0.0,0,19.0,9.0,6.0,31.0,3.0,0.0,0,0.4444444444444444
The Ultimate Fighter: A New World Champion Finale,Barb Honchak vs. Lauren Murphy,Barb Honchak,0.0,71.0,0.8200000000000001,75.0,0.0,0.0,2.0,0.0,0,55.0,3.0,13.0,71.0,0.0,0.0,3,0.7142857142857143
The Ultimate Fighter: A New World Champion Finale,Barb Honchak vs. Lauren Murphy,Lauren Murphy,0.0,59.0,0.94,77.0,2.0,2.0,0.0,0.0,0,49.0,2.0,8.0,59.0,0.0,0.0,0,0.7272727272727273
The Ultimate Fighter: A New World Champion Finale,Christina Marks vs. Montana De La Rosa,Christina Marks,0.0,10.0,0.58,17.0,1.0,1.0,0.0,0.0,0,6.0,2.0,2.0,7.0,3.0,0.0,1,0.47058823529411764
The Ultimate Fighter: A New World Champion Finale,Christina Marks vs. Montana De La Rosa,Montana De La Rosa,0.0,6.0,0.35,8.0,0.0,0.0,1.0,0.0,0,3.0,2.0,1.0,3.0,3.0,0.0,0,0.5714285714285714
The Ultimate Fighter: A New World Champion Finale,DeAnna Bennett vs. Melinda Fabian,DeAnna Bennett,0.0,47.0,1.8900000000000001,82.0,0.0,0.0,1.0,0.0,0,25.0,16.0,6.0,27.0,19.0,1.0,0,0.7272727272727273
The Ultimate Fighter: A New World Champion Finale,DeAnna Bennett vs. Melinda Fabian,Melinda Fabian,1.0,49.0,1.26,102.0,0.0,0.0,0.0,0.0,0,34.0,12.0,3.0,32.0,17.0,0.0,3,0.5
The Ultimate Fighter: A New World Champion Finale,Eric Spicely vs. Gerald Meerschaert,Eric Spicely,0.0,17.0,1.17,59.0,1.0,0.5,1.0,0.0,0,15.0,2.0,0.0,11.0,1.0,5.0,0,0.6666666666666666
The Ultimate Fighter: A New World Champion Finale,Eric Spicely vs. Gerald Meerschaert,Gerald Meerschaert,1.0,36.0,0.8400000000000001,45.0,0.0,0.0,0.0,1.0,0,30.0,6.0,0.0,33.0,1.0,2.0,2,0.6730769230769231
The Ultimate Fighter: A New World Champion Finale,Gillian Robertson vs. Emily Whitmire,Emily Whitmire,0.0,9.0,0.6,13.0,0.0,0.0,0.0,1.0,0,7.0,0.0,2.0,6.0,2.0,1.0,1,0.4444444444444444
The Ultimate Fighter: A New World Champion Finale,Gillian Robertson vs. Emily Whitmire,Gillian Robertson,0.0,2.0,0.33,4.0,1.0,1.0,1.0,0.0,0,2.0,0.0,0.0,2.0,0.0,0.0,0,0.6
The Ultimate Fighter: A New World Champion Finale,Joe Soto vs. Brett Johns,Brett Johns,0.0,1.0,0.11,1.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.8947368421052632
The Ultimate Fighter: A New World Champion Finale,Joe Soto vs. Brett Johns,Joe Soto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.72
The Ultimate Fighter: A New World Champion Finale,Karine Gevorgyan vs. Rachael Ostovich,Karine Gevorgyan,0.0,2.0,0.2,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,2.0,0.0,0.0,0,0.5
The Ultimate Fighter: A New World Champion Finale,Karine Gevorgyan vs. Rachael Ostovich,Rachael Ostovich,0.0,3.0,0.23,5.0,1.0,1.0,1.0,0.0,0,1.0,0.0,2.0,3.0,0.0,0.0,1,0.4
The Ultimate Fighter: A New World Champion Finale,Nicco Montano vs. Roxanne Modafferi,Nicco Montano,0.0,186.0,2.01,242.0,3.0,2.5,1.0,1.0,0,138.0,13.0,35.0,161.0,10.0,15.0,5,0.625
The Ultimate Fighter: A New World Champion Finale,Nicco Montano vs. Roxanne Modafferi,Roxanne Modafferi,0.0,132.0,1.69,154.0,2.0,1.0,1.0,0.0,0,112.0,12.0,8.0,123.0,7.0,2.0,0,0.5434782608695652
The Ultimate Fighter: A New World Champion Finale,Sean O'Malley vs. Terrion Ware,Sean O'Malley,0.0,141.0,1.65,142.0,3.0,0.75,0.0,0.0,0,119.0,20.0,2.0,131.0,6.0,4.0,3,0.9444444444444444
The Ultimate Fighter: A New World Champion Finale,Sean O'Malley vs. Terrion Ware,Terrion Ware,0.0,88.0,0.88,96.0,0.0,0.0,0.0,0.0,0,59.0,17.0,12.0,83.0,5.0,0.0,0,0.6538461538461539
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Angela Magana vs. Michelle Waterson,Angela Magana,0.0,8.0,1.01,19.0,1.0,1.0,1.0,0.0,0,3.0,2.0,3.0,6.0,2.0,0.0,0,0.55
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Angela Magana vs. Michelle Waterson,Michelle Waterson,0.0,47.0,2.48,102.0,3.0,2.0,4.0,0.0,0,25.0,15.0,7.0,25.0,9.0,13.0,3,
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Dan Miller vs. Trevor Smith,Dan Miller,0.0,25.0,0.9500000000000001,29.0,0.0,0.0,1.0,0.0,0,10.0,13.0,2.0,13.0,12.0,0.0,0,0.6363636363636364
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Dan Miller vs. Trevor Smith,Trevor Smith,0.0,51.0,2.02,149.0,1.0,1.0,0.0,0.0,0,41.0,9.0,1.0,15.0,9.0,27.0,3,0.6
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Darrell Montague vs. Willie Gates,Darrell Montague,0.0,4.0,0.3,4.0,0.0,0.0,0.0,0.0,0,0.0,2.0,2.0,4.0,0.0,0.0,0,0.7222222222222222
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Darrell Montague vs. Willie Gates,Willie Gates,1.0,19.0,0.57,21.0,0.0,0.0,0.0,0.0,0,15.0,3.0,1.0,9.0,0.0,10.0,1,0.631578947368421
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,George Sullivan vs. Dominic Waters,Dominic Waters,0.0,13.0,1.15,32.0,5.0,3.0,0.0,0.0,0,12.0,1.0,0.0,10.0,1.0,2.0,0,0.6428571428571429
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,George Sullivan vs. Dominic Waters,George Sullivan,0.0,54.0,1.58,103.0,2.0,2.0,3.0,1.0,0,29.0,18.0,7.0,21.0,10.0,23.0,3,0.7083333333333334
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Jake Ellenberger vs. Stephen Thompson,Jake Ellenberger,1.0,5.0,0.35,14.0,0.0,0.0,0.0,0.0,0,4.0,1.0,0.0,1.0,4.0,0.0,0,0.6739130434782609
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Jake Ellenberger vs. Stephen Thompson,Stephen Thompson,2.0,20.0,0.57,29.0,1.0,0.33,0.0,0.0,0,17.0,2.0,1.0,12.0,1.0,7.0,1,0.7391304347826086
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Jorge Masvidal vs. Cezar Ferreira,Cezar Ferreira,0.0,7.0,0.38,9.0,1.0,0.33,0.0,0.0,0,5.0,2.0,0.0,6.0,1.0,0.0,0,0.6190476190476191
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Jorge Masvidal vs. Cezar Ferreira,Jorge Masvidal,1.0,12.0,0.52,14.0,0.0,0.0,0.0,0.0,0,8.0,3.0,1.0,5.0,3.0,4.0,1,0.6730769230769231
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Josh Samman vs. Caio Magalhaes,Caio Magalhaes,0.0,3.0,0.37,5.0,0.0,0.0,0.0,0.0,0,3.0,0.0,0.0,3.0,0.0,0.0,0,0.7692307692307693
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Josh Samman vs. Caio Magalhaes,Josh Samman,0.0,12.0,0.63,21.0,0.0,0.0,1.0,0.0,0,3.0,3.0,6.0,12.0,0.0,0.0,1,0.7647058823529411
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Kamaru Usman vs. Hayder Hassan,Hayder Hassan,0.0,3.0,0.56,7.0,0.0,0.0,0.0,0.0,0,3.0,0.0,0.0,1.0,2.0,0.0,0,0.6666666666666666
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Kamaru Usman vs. Hayder Hassan,Kamaru Usman,0.0,15.0,1.05,31.0,6.0,1.33,1.0,0.0,0,10.0,5.0,0.0,4.0,4.0,7.0,2,0.8333333333333334
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Maximo Blanco vs. Mike de la Torre,Maximo Blanco,1.0,4.0,0.57,4.0,0.0,0.0,0.0,0.0,0,3.0,1.0,0.0,4.0,0.0,0.0,1,0.6
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Maximo Blanco vs. Mike de la Torre,Mike de la Torre,0.0,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.6666666666666666
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Michael Graves vs. Vicente Luque,Michael Graves,0.0,27.0,1.7999999999999998,53.0,7.0,2.08,0.0,1.0,0,22.0,3.0,2.0,12.0,7.0,8.0,3,1.0
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Michael Graves vs. Vicente Luque,Vicente Luque,0.0,28.0,1.54,50.0,0.0,0.0,1.0,0.0,0,13.0,12.0,3.0,16.0,3.0,9.0,0,0.7096774193548387
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Russell Doane vs. Jerrod Sanders,Jerrod Sanders,0.0,15.0,2.37,47.0,3.0,1.33,3.0,1.0,0,10.0,5.0,0.0,5.0,4.0,6.0,3,0.8421052631578947
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Russell Doane vs. Jerrod Sanders,Russell Doane,1.0,13.0,1.19,34.0,1.0,0.5,3.0,2.0,0,10.0,3.0,0.0,3.0,6.0,4.0,0,0.6521739130434783
The Ultimate Fighter: Heavy Hitters Finale,Darren Stewart vs. Edmen Shahbazyan,Darren Stewart,0.0,34.0,1.25,46.0,1.0,0.5,0.0,0.0,0,29.0,4.0,1.0,11.0,12.0,11.0,3,0.6
The Ultimate Fighter: Heavy Hitters Finale,Darren Stewart vs. Edmen Shahbazyan,Edmen Shahbazyan,0.0,22.0,1.5,27.0,8.0,1.15,0.0,0.0,0,12.0,6.0,4.0,10.0,11.0,1.0,0,0.75
The Ultimate Fighter: Heavy Hitters Finale,Ji Yeon Kim vs. Antonina Shevchenko,Antonina Shevchenko,0.0,66.0,1.45,87.0,2.0,2.0,0.0,0.0,0,41.0,18.0,7.0,46.0,14.0,6.0,3,0.7142857142857143
The Ultimate Fighter: Heavy Hitters Finale,Ji Yeon Kim vs. Antonina Shevchenko,Ji Yeon Kim,0.0,33.0,0.81,85.0,0.0,0.0,0.0,0.0,0,18.0,5.0,10.0,26.0,7.0,0.0,0,0.5625
The Ultimate Fighter: Heavy Hitters Finale,Joseph Benavidez vs. Alex Perez,Alex Perez,0.0,14.0,0.43,14.0,1.0,1.0,0.0,0.0,0,5.0,7.0,2.0,9.0,5.0,0.0,0,0.7741935483870968
The Ultimate Fighter: Heavy Hitters Finale,Joseph Benavidez vs. Alex Perez,Joseph Benavidez,0.0,35.0,0.48,42.0,1.0,0.5,0.0,0.0,0,20.0,11.0,4.0,19.0,1.0,15.0,1,0.7777777777777778
The Ultimate Fighter: Heavy Hitters Finale,Juan Espino vs. Justin Frazier,Juan Espino,0.0,22.0,0.95,44.0,2.0,1.0,2.0,0.0,0,19.0,3.0,0.0,0.0,5.0,17.0,1,0.8461538461538461
The Ultimate Fighter: Heavy Hitters Finale,Juan Espino vs. Justin Frazier,Justin Frazier,0.0,4.0,0.66,17.0,0.0,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,4.0,0.0,0,0.7692307692307693
The Ultimate Fighter: Heavy Hitters Finale,Julija Stoliarenko vs. Leah Letson,Julija Stoliarenko,0.0,57.0,1.13,66.0,0.0,0.0,1.0,0.0,0,39.0,7.0,11.0,50.0,5.0,2.0,0,0.5789473684210527
The Ultimate Fighter: Heavy Hitters Finale,Julija Stoliarenko vs. Leah Letson,Leah Letson,0.0,73.0,1.21,88.0,0.0,0.0,0.0,0.0,0,40.0,19.0,14.0,66.0,6.0,1.0,3,0.625
The Ultimate Fighter: Heavy Hitters Finale,Maurice Greene vs. Michel Batista,Maurice Greene,0.0,9.0,0.6,11.0,0.0,0.0,1.0,0.0,0,6.0,1.0,2.0,4.0,5.0,0.0,1,0.5625
The Ultimate Fighter: Heavy Hitters Finale,Maurice Greene vs. Michel Batista,Michel Batista,0.0,0.0,0.0,4.0,1.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.8
The Ultimate Fighter: Heavy Hitters Finale,Pannie Kianzad vs. Macy Chiasson,Macy Chiasson,1.0,24.0,0.96,37.0,0.0,0.0,2.0,0.0,0,11.0,12.0,1.0,12.0,10.0,2.0,2,0.75
The Ultimate Fighter: Heavy Hitters Finale,Pannie Kianzad vs. Macy Chiasson,Pannie Kianzad,0.0,19.0,0.9199999999999999,30.0,0.0,0.0,1.0,0.0,0,10.0,9.0,0.0,8.0,11.0,0.0,0,0.7083333333333334
The Ultimate Fighter: Heavy Hitters Finale,Pedro Munhoz vs. Bryan Caraway,Bryan Caraway,0.0,20.0,0.41,21.0,0.0,0.0,0.0,0.0,0,18.0,1.0,1.0,20.0,0.0,0.0,0,0.7
The Ultimate Fighter: Heavy Hitters Finale,Pedro Munhoz vs. Bryan Caraway,Pedro Munhoz,1.0,35.0,0.6,38.0,0.0,0.0,0.0,0.0,0,24.0,2.0,9.0,27.0,4.0,4.0,1,0.7142857142857143
The Ultimate Fighter: Heavy Hitters Finale,Rafael Dos Anjos vs. Kamaru Usman,Kamaru Usman,0.0,130.0,2.8200000000000003,227.0,12.0,3.3,0.0,0.0,0,95.0,29.0,6.0,48.0,33.0,49.0,5,0.8333333333333334
The Ultimate Fighter: Heavy Hitters Finale,Rafael Dos Anjos vs. Kamaru Usman,Rafael Dos Anjos,0.0,62.0,2.98,84.0,0.0,0.0,2.0,1.0,0,27.0,19.0,16.0,35.0,22.0,5.0,0,0.6808510638297872
The Ultimate Fighter: Heavy Hitters Finale,Raoni Barcelos vs. Chris Gutierrez,Chris Gutierrez,0.0,26.0,1.12,32.0,0.0,0.0,0.0,0.0,0,9.0,0.0,17.0,23.0,0.0,3.0,0,0.8
The Ultimate Fighter: Heavy Hitters Finale,Raoni Barcelos vs. Chris Gutierrez,Raoni Barcelos,0.0,35.0,0.94,83.0,2.0,2.0,1.0,0.0,0,33.0,0.0,2.0,3.0,0.0,32.0,2,0.7727272727272727
The Ultimate Fighter: Heavy Hitters Finale,Ricky Glenn vs. Kevin Aguilar,Kevin Aguilar,1.0,86.0,1.53,103.0,0.0,0.0,0.0,0.0,0,47.0,33.0,6.0,62.0,11.0,13.0,3,0.7727272727272727
The Ultimate Fighter: Heavy Hitters Finale,Ricky Glenn vs. Kevin Aguilar,Ricky Glenn,0.0,74.0,1.1600000000000001,77.0,0.0,0.0,0.0,0.0,0,50.0,11.0,13.0,63.0,11.0,0.0,0,0.7333333333333333
The Ultimate Fighter: Heavy Hitters Finale,Roosevelt Roberts vs. Darrell Horcher,Darrell Horcher,0.0,10.0,0.3,19.0,0.0,0.0,0.0,0.0,0,5.0,5.0,0.0,8.0,2.0,0.0,0,0.7647058823529411
The Ultimate Fighter: Heavy Hitters Finale,Roosevelt Roberts vs. Darrell Horcher,Roosevelt Roberts,0.0,16.0,0.45,23.0,0.0,0.0,1.0,0.0,0,10.0,4.0,2.0,15.0,1.0,0.0,1,0.7058823529411765
The Ultimate Fighter: Heavy Hitters Finale,Tim Means vs. Ricky Rainey,Ricky Rainey,0.0,6.0,0.5,6.0,0.0,0.0,0.0,0.0,0,6.0,0.0,0.0,6.0,0.0,0.0,0,0.6666666666666666
The Ultimate Fighter: Heavy Hitters Finale,Tim Means vs. Ricky Rainey,Tim Means,0.0,19.0,0.59,26.0,2.0,1.0,0.0,0.0,0,17.0,1.0,1.0,5.0,0.0,14.0,1,0.6875
The Ultimate Fighter: Heavyweights Finale,Brian Stann vs. Rodney Wallace,Brian Stann,0.0,36.0,1.59,100.0,0.0,0.0,0.0,0.0,0,15.0,6.0,15.0,11.0,19.0,6.0,3,0.6666666666666666
The Ultimate Fighter: Heavyweights Finale,Brian Stann vs. Rodney Wallace,Rodney Wallace,0.0,15.0,0.9299999999999999,36.0,7.0,1.32,2.0,0.0,0,9.0,6.0,0.0,6.0,5.0,4.0,0,0.6341463414634146
The Ultimate Fighter: Heavyweights Finale,Frankie Edgar vs. Matt Veach,Frankie Edgar,0.0,25.0,0.81,36.0,0.0,0.0,1.0,0.0,0,19.0,5.0,1.0,11.0,2.0,12.0,2,0.6764705882352942
The Ultimate Fighter: Heavyweights Finale,Frankie Edgar vs. Matt Veach,Matt Veach,0.0,7.0,0.28,7.0,3.0,0.5,0.0,0.0,0,5.0,2.0,0.0,5.0,2.0,0.0,0,0.7727272727272727
The Ultimate Fighter: Heavyweights Finale,James McSweeney vs. Darrill Schoonover,Darrill Schoonover,0.0,16.0,0.75,27.0,0.0,0.0,1.0,1.0,0,13.0,2.0,1.0,6.0,7.0,3.0,0,0.6363636363636364
